CustomerID,Recency_Days,Frequency,Monetary_NetSales,GrossSales,ReturnsValue,ReturnRate,CohortMonth,R_Score,F_Score,M_Score,RFM_Score_String,RFM_Segment
0.0461,2454810.2,5,149496435.08,149496435.08,0,0,-4556-07,1,4,5,145,At-Risk
0.0455,2452999.6,2,143475316.46,143475316.46,0,0,-4555-02,1,2,5,125,Hibernating
0.0725,2414906.3,1,113055930,113055930,0,0,-4600-02,1,1,5,115,Lost
0.1081,2421810.2,1,112034124,112034124,0,0,-4619-03,1,1,5,115,Lost
0.0256,2454979.4,2,102156449.4,102156449.4,0,0,-4537-03,1,2,5,125,Hibernating
0.2234,2431767.9,1,101074352.15,101074352.15,0,0,-4647-12,1,1,5,115,Lost
0.0193,2452087.5,4,100156979.77,100156979.77,0,0,-4519-12,1,3,5,135,At-Risk
0.0158,2454841.2,6,97519286.43,97519286.43,0,0,-4558-11,1,4,5,145,At-Risk
0.113,2425512.3,1,92558263.2,92558263.2,0,0,-4629-02,1,1,5,115,Lost
0.0371,2454802.1,4,85419085,85419085,0,0,-4582-09,1,3,5,135,At-Risk
0.0504,2455054.1,4,77236865.27,77236865.27,0,0,-4603-04,1,3,5,135,At-Risk
0.0077,2454484.1,8,70598833.64,70598833.64,0,0,-4463-07,1,5,5,155,At-Risk
0.0102,2455172.3,9,59511113.66,59511113.66,0,0,-4510-12,1,5,5,155,At-Risk
0.749,2438679.7,1,55785394.16,55785394.16,0,0,-4665-01,1,1,5,115,Lost
0.017,2454838,10,55233549.58,55233549.58,0,0,-4571-07,1,5,5,155,At-Risk
0.0148,2455449.1,6,53895566.3,53895566.3,0,0,-4551-12,1,4,5,145,At-Risk
0.7426,2439225.7,1,53165304.44,53165304.44,0,0,-4667-07,1,1,5,115,Lost
0.4444,2441312.9,1,52571706.11,52571706.11,0,0,-4673-11,1,1,5,115,Lost
0.0726,2428113.2,1,52005746.24,52005746.24,0,0,-4637-12,1,1,5,115,Lost
0.0837,2429865.9,1,51985452.2,51985452.2,0,0,-4641-03,1,1,5,115,Lost
0.4269,2441794.9,1,48709618.4,48709618.4,0,0,-4674-07,1,1,5,115,Lost
0.3802,2441912,1,46139839.62,46139839.62,0,0,-4674-03,1,1,5,115,Lost
0.0357,2454197.4,2,44493545.36,44493545.36,0,0,-4614-03,1,2,5,125,Hibernating
0.2998,2441348.5,1,44480334.08,44480334.08,0,0,-4673-10,1,1,5,115,Lost
0.0759,2455532.5,3,39416368.91,39416368.91,0,0,-4648-10,1,3,5,135,At-Risk
0.0251,2455704.3,5,39328075.35,39328075.35,0,0,-4627-01,1,4,5,145,At-Risk
0.0198,2454898.9,6,37242596.84,37242596.84,0,0,-4593-01,1,4,5,145,At-Risk
0.6741,2443303.7,1,34880511.06,34880511.06,0,0,-4678-05,1,1,5,115,Lost
0.1087,2452510.2,2,34739864.6,34739864.6,0,0,-4662-11,1,2,5,125,Hibernating
0.182,2440998.7,1,33079395.44,33079395.44,0,0,-4672-09,1,1,5,115,Lost
0.0319,2455594.7,3,31782499.83,31782499.83,0,0,-4625-08,1,3,5,135,At-Risk
0.0225,2454858.9,4,30330910.58,30330910.58,0,0,-4612-05,1,3,5,135,At-Risk
0.0501,2453535.6,2,29032171.25,29032171.25,0,0,-4645-03,1,2,5,125,Hibernating
0.0602,2433595,1,28143668.96,28143668.96,0,0,-4652-12,1,1,5,115,Lost
0.0171,2455499.6,7,26269236.02,26269236.02,0,0,-4608-08,1,4,5,145,At-Risk
0.0248,2455198.5,6,26165315.92,26165315.92,0,0,-4628-05,1,4,5,145,At-Risk
0.9837,2415989,1,25484283,25484283,0,0,-4603-03,1,1,5,115,Lost
0.0581,2450198.6,2,25353255.19,25353255.19,0,0,-4656-09,1,2,5,125,Hibernating
0.0848,2438656,1,23092234.38,23092234.38,0,0,-4665-02,1,1,5,115,Lost
0.6946,2445509,1,22926675,22926675,0,0,-4684-05,1,1,5,115,Lost
0.0771,2438251,1,22181941.92,22181941.92,0,0,-4664-03,1,1,5,115,Lost
0.022,2454946.1,4,21899261.54,21899261.54,0,0,-4632-10,1,3,5,135,At-Risk
0.1153,2454524.3,2,21637584.48,21637584.48,0,0,-4673-08,1,2,5,125,Hibernating
0.1129,2441283.2,1,21406913.28,21406913.28,0,0,-4673-12,1,1,5,115,Lost
0.0443,2433500.7,1,21264976.98,21264976.98,0,0,-4651-03,1,1,5,115,Lost
0.0125,2452590.7,7,20378572.77,20378572.77,0,0,-4619-10,1,4,5,145,At-Risk
0.0183,2455291.8,5,19913758.19,19913758.19,0,0,-4625-01,1,4,5,145,At-Risk
0.0292,2429646.4,1,19565617.05,19565617.05,0,0,-4641-10,1,1,5,115,Lost
0.0275,2455226.7,3,18739172.21,18739172.21,0,0,-4640-02,1,3,5,135,At-Risk
0.0332,2455335,5,17093613.81,17093613.81,0,0,-4650-11,1,4,5,145,At-Risk
0.2906,2446874.8,1,16811329.86,16811329.86,0,0,-4688-08,1,1,5,115,Lost
0.153,2444690.8,1,16297143.3,16297143.3,0,0,-4682-08,1,1,5,115,Lost
0.1461,2444592.5,1,15962184,15962184,0,0,-4682-11,1,1,5,115,Lost
0.012,2454629.7,5,15858659.85,15858659.85,0,0,-4615-03,1,4,5,145,At-Risk
0.0517,2438024.9,1,15665648.4,15665648.4,0,0,-4664-11,1,1,5,115,Lost
0.4619,2448048.4,1,15341473.8,15341473.8,0,0,-4691-05,1,1,5,115,Lost
0.1329,2444469.8,1,15071890.65,15071890.65,0,0,-4681-03,1,1,5,115,Lost
0.0086,2454418.1,10,14854580.24,14854580.24,0,0,-4622-12,1,5,5,155,At-Risk
0.0529,2438880.6,1,14520306.96,14520306.96,0,0,-4666-07,1,1,5,115,Lost
0.0175,2454995.1,7,14153559.33,14153559.33,0,0,-4637-11,1,4,5,145,At-Risk
0.0473,2453001.2,2,14119447.46,14119447.46,0,0,-4665-09,1,2,5,125,Hibernating
0.1848,2446229.2,1,14106110.4,14106110.4,0,0,-4686-05,1,1,5,115,Lost
0.0118,2454825.5,7,13953849.59,13953849.59,0,0,-4619-08,1,4,5,145,At-Risk
0.0103,2455076.5,8,13541301.4,13541301.4,0,0,-4628-05,1,5,5,155,At-Risk
0.0359,2442124.9,2,13368710.19,13368710.19,0,0,-4674-03,1,2,5,125,Hibernating
0.014,2454312.4,7,13109198.42,13109198.42,0,0,-4648-01,1,4,5,145,At-Risk
0.0048,2454658.7,18,12945137.1,12945137.1,0,0,-4607-04,1,5,5,155,At-Risk
0.0072,2455422.8,5,11960332.4,11960332.4,0,0,-4603-07,1,4,5,145,At-Risk
0.2562,2448110.9,1,11575507.57,11575507.57,0,0,-4691-03,1,1,5,115,Lost
0.0189,2455229.8,5,11423978.98,11423978.98,0,0,-4654-07,1,4,5,145,At-Risk
0.0272,2454958.7,6,11353889.07,11353889.07,0,0,-4661-04,1,4,5,145,At-Risk
0.485,2449203.9,1,11216957.85,11216957.85,0,0,-4694-04,1,1,5,115,Lost
0.1314,2446455.2,1,10189657.44,10189657.44,0,0,-4687-10,1,1,5,115,Lost
0.4279,2449626.5,1,9650806,9650806,0,0,-4695-02,1,1,5,115,Lost
0.1561,2447380.6,1,9572947.91,9572947.91,0,0,-4689-03,1,1,5,115,Lost
0.1166,2455754.5,3,9528277.44,9528277.44,0,0,-4687-10,1,3,5,135,At-Risk
0.0255,2454544.8,3,9226941.9,9226941.9,0,0,-4662-01,1,3,5,135,At-Risk
0.0466,2455197.8,3,9160933.21,9160933.21,0,0,-4673-02,1,3,5,135,At-Risk
0.052,2442353.8,1,9055787.7,9055787.7,0,0,-4675-01,1,1,5,115,Lost
0.0312,2454212.7,3,8855368.1,8855368.1,0,0,-4667-12,1,3,5,135,At-Risk
0.0135,2455168.6,7,8838286.64,8838286.64,0,0,-4664-12,1,4,5,145,At-Risk
0.0307,2455648.4,7,8837661.85,8837661.85,0,0,-4669-08,1,4,5,145,At-Risk
0.074,2444568.1,1,8802992.92,8802992.92,0,0,-4682-12,1,1,5,115,Lost
0.0966,2446222.4,1,8184218.02,8184218.02,0,0,-4686-05,1,1,5,115,Lost
0.0369,2455222,5,8122212.52,8122212.52,0,0,-4679-11,1,4,5,145,At-Risk
0.0242,2454878.1,3,8105243.05,8105243.05,0,0,-4665-11,1,3,5,135,At-Risk
0.0335,2455313.6,4,8066843.7,8066843.7,0,0,-4670-11,1,3,5,135,At-Risk
0.0066,2455251.1,7,8052156.83,8052156.83,0,0,-4643-12,1,4,5,145,At-Risk
0.0147,2455510.4,4,8043751.39,8043751.39,0,0,-4651-04,1,3,5,135,At-Risk
0.7259,2449654.2,1,7773371.31,7773371.31,0,0,-4695-01,1,1,5,115,Lost
0.0437,2442527.1,1,7483649.14,7483649.14,0,0,-4676-07,1,1,5,115,Lost
0.0285,2455256,2,7173171.1,7173171.1,0,0,-4669-11,1,2,5,125,Hibernating
0.0224,2454060.2,6,7094327.55,7094327.55,0,0,-4668-04,1,4,5,145,At-Risk
0.0532,2444177.6,1,6927938.91,6927938.91,0,0,-4680-01,1,1,5,115,Lost
0.0394,2455505.4,3,6821832.63,6821832.63,0,0,-4676-07,1,3,5,135,At-Risk
0.0218,2454541.9,3,6794372.4,6794372.4,0,0,-4664-03,1,3,5,135,At-Risk
0.3155,2450299,1,6788075.07,6788075.07,0,0,-4697-04,1,1,5,115,Lost
0.0858,2455120.3,2,6747774.59,6747774.59,0,0,-4687-03,1,2,5,125,Hibernating
0.0234,2455798.7,4,6703521.44,6703521.44,0,0,-4668-06,1,3,5,135,At-Risk
0.004,2454424.1,8,6591767.23,6591767.23,0,0,-4634-06,1,5,5,155,At-Risk
0.0231,2454930.9,4,6530892.42,6530892.42,0,0,-4675-06,1,3,5,135,At-Risk
0.0235,2455481.6,6,6389072.71,6389072.71,0,0,-4674-07,1,4,5,145,At-Risk
0.1783,2449307,1,6377735.94,6377735.94,0,0,-4695-12,1,1,5,115,Lost
0.0079,2454901.4,8,6305522.35,6305522.35,0,0,-4645-09,1,5,5,155,At-Risk
0.0423,2443561,1,6172147.98,6172147.98,0,0,-4679-09,1,1,5,115,Lost
0.0092,2454929.4,8,6087929.61,6087929.61,0,0,-4656-12,1,5,5,155,At-Risk
0.0339,2453121.7,3,6019709.55,6019709.55,0,0,-4678-07,1,3,5,135,At-Risk
0.0286,2454656.5,5,6009151.06,6009151.06,0,0,-4675-10,1,4,5,145,At-Risk
0.0094,2455061.6,12,5790359.17,5790359.17,0,0,-4653-12,1,5,5,155,At-Risk
0.1319,2448812.9,1,5761154.16,5761154.16,0,0,-4693-04,1,1,5,115,Lost
0.0435,2454367.1,2,5746350.88,5746350.88,0,0,-4681-10,1,2,5,125,Hibernating
0.0207,2454946.7,5,5654165.4,5654165.4,0,0,-4668-05,1,4,5,145,At-Risk
0.0051,2455418.5,7,5613946.19,5613946.19,0,0,-4647-06,1,4,5,145,At-Risk
0.0087,2454438.3,8,5553964.75,5553964.75,0,0,-4670-05,1,5,5,155,At-Risk
0.0309,2455217.3,4,5492780.08,5492780.08,0,0,-4677-08,1,3,5,135,At-Risk
0.2875,2450727.5,1,5491777.41,5491777.41,0,0,-4698-01,1,1,5,115,Lost
0.0283,2441790.1,1,5483119.85,5483119.85,0,0,-4674-07,1,1,5,115,Lost
0.0936,2447914,1,5417184.56,5417184.56,0,0,-4691-10,1,1,5,115,Lost
0.0305,2454815.4,5,5358981.46,5358981.46,0,0,-4685-01,1,4,5,145,At-Risk
0.2132,2450276.5,1,5314219.92,5314219.92,0,0,-4697-04,1,1,5,115,Lost
0.0237,2455279.6,3,5311685.75,5311685.75,0,0,-4672-04,1,3,5,135,At-Risk
0.0471,2452296.2,2,5247204.36,5247204.36,0,0,-4685-10,1,2,5,125,Hibernating
0.0681,2451387.9,2,5206197.58,5206197.58,0,0,-4691-05,1,2,5,125,Hibernating
0.1183,2448862.3,1,5173649.25,5173649.25,0,0,-4693-03,1,1,5,115,Lost
0.0113,2455574.4,6,5121315.97,5121315.97,0,0,-4657-07,1,4,5,145,At-Risk
0.0356,2454133,3,5106120.05,5106120.05,0,0,-4685-02,1,3,5,135,At-Risk
0.0088,2454805.6,9,5028912.04,5028912.04,0,0,-4662-04,1,5,5,155,At-Risk
0.3411,2451208.8,1,4955010.06,4955010.06,0,0,-4700-10,1,1,5,115,Lost
0.0122,2454672.5,6,4845914.18,4845914.18,0,0,-4661-01,1,4,5,145,At-Risk
0.0243,2455083,4,4830046.54,4830046.54,0,0,-4674-07,1,3,5,135,At-Risk
0.1647,2450002.7,1,4793932,4793932,0,0,-4696-01,1,1,5,115,Lost
0.2695,2450986.1,1,4764138.35,4764138.35,0,0,-4699-05,1,1,5,115,Lost
0.0219,2455507.5,8,4732068.14,4732068.14,0,0,-4678-08,1,5,5,155,At-Risk
0.0346,2455590.9,3,4621471.7,4621471.7,0,0,-4683-10,1,3,5,135,At-Risk
0.032,2454083.6,2,4611217.46,4611217.46,0,0,-4680-12,1,2,5,125,Hibernating
0.2126,2450673.7,1,4582181.55,4582181.55,0,0,-4698-03,1,1,5,115,Lost
0.1051,2448957.3,1,4540772.46,4540772.46,0,0,-4694-12,1,1,5,115,Lost
0.0179,2439948.5,1,4476421.15,4476421.15,0,0,-4669-08,1,1,5,115,Lost
0.0091,2455357.5,16,4465122.51,4465122.51,0,0,-4680-08,1,5,5,155,At-Risk
0.026,2453934.9,2,4443284.71,4443284.71,0,0,-4677-09,1,2,5,125,Hibernating
0.0259,2455332.7,4,4362671.61,4362671.61,0,0,-4679-05,1,3,5,135,At-Risk
0.0304,2454843.2,2,4358199.58,4358199.58,0,0,-4679-01,1,2,5,125,Hibernating
0.0216,2454922.4,5,4341822.44,4341822.44,0,0,-4676-01,1,4,5,145,At-Risk
0.0968,2455068.5,2,4327742.43,4327742.43,0,0,-4693-01,1,2,5,125,Hibernating
0.0226,2454774,5,4207362.14,4207362.14,0,0,-4683-07,1,4,5,145,At-Risk
0.0987,2449042.6,1,4190337.5,4190337.5,0,0,-4694-09,1,1,5,115,Lost
0.0223,2452367.6,2,4185736.1,4185736.1,0,0,-4676-07,1,2,5,125,Hibernating
0.0782,2448305.5,1,4161564,4161564,0,0,-4692-09,1,1,5,115,Lost
0.0146,2455500.4,13,4156058.84,4156058.84,0,0,-4679-01,1,5,5,155,At-Risk
0.0081,2455540.4,13,4080142.92,4080142.92,0,0,-4665-06,1,5,5,155,At-Risk
0.0797,2448471.2,1,4053224.09,4053224.09,0,0,-4692-04,1,1,5,115,Lost
0.0578,2447283.7,1,4046959.83,4046959.83,0,0,-4689-07,1,1,5,115,Lost
0.0108,2454269.4,5,3956424.5,3956424.5,0,0,-4665-05,1,4,5,145,At-Risk
0.027,2455202.3,2,3948318.21,3948318.21,0,0,-4679-05,1,2,5,125,Hibernating
0.0957,2452111.4,2,3936655.56,3936655.56,0,0,-4697-03,1,2,5,125,Hibernating
0.0825,2453859.2,2,3916553.11,3916553.11,0,0,-4694-10,1,2,5,125,Hibernating
0.0126,2454890.3,8,3871540.76,3871540.76,0,0,-4679-03,1,5,5,155,At-Risk
0.0236,2455160.6,4,3823277.73,3823277.73,0,0,-4680-10,1,3,5,135,At-Risk
0.0679,2454993.4,2,3816508.1,3816508.1,0,0,-4691-01,1,2,5,125,Hibernating
0.0132,2455520.3,9,3802278.79,3802278.79,0,0,-4676-02,1,5,5,155,At-Risk
0.0074,2455560.8,8,3761745.86,3761745.86,0,0,-4656-03,1,5,5,155,At-Risk
0.0115,2455152.2,6,3718755.9,3718755.9,0,0,-4676-06,1,4,5,145,At-Risk
0.0562,2447555.1,1,3699817.6,3699817.6,0,0,-4690-10,1,1,5,115,Lost
0.0584,2454678,2,3668281.9,3668281.9,0,0,-4690-01,1,2,5,125,Hibernating
0.1018,2449634.9,1,3596313.6,3596313.6,0,0,-4695-01,1,1,5,115,Lost
0.0263,2455147.8,4,3593149.93,3593149.93,0,0,-4686-02,1,3,5,135,At-Risk
0.0228,2443222.1,1,3576288.7,3576288.7,0,0,-4678-08,1,1,5,115,Lost
0.2159,2451347.4,1,3515367.51,3515367.51,0,0,-4700-05,1,1,5,115,Lost
0.0124,2455505.9,5,3513647.41,3513647.41,0,0,-4673-10,1,4,5,145,At-Risk
0.0133,2455159.9,7,3457140.01,3457140.01,0,0,-4682-10,1,4,5,145,At-Risk
0.0111,2454985.8,6,3443493.82,3443493.82,0,0,-4675-11,1,4,5,145,At-Risk
0.0177,2455312.5,7,3355244.79,3355244.79,0,0,-4680-02,1,4,5,145,At-Risk
0.0347,2454621.6,2,3279622.92,3279622.92,0,0,-4686-10,1,2,5,125,Hibernating
0.0331,2453951.6,4,3245742.21,3245742.21,0,0,-4694-10,1,3,5,135,At-Risk
0.0053,2454806.9,13,3242745.75,3242745.75,0,0,-4667-06,1,5,5,155,At-Risk
0.0315,2454956.6,6,3209308.2,3209308.2,0,0,-4688-01,1,4,5,145,At-Risk
0.0428,2454698.1,3,3208620.24,3208620.24,0,0,-4692-12,1,3,5,135,At-Risk
0.0373,2454833.7,4,3200428.44,3200428.44,0,0,-4689-12,1,3,5,135,At-Risk
0.0134,2455163.1,9,3181638.59,3181638.59,0,0,-4684-08,1,5,5,155,At-Risk
0.0367,2453736.1,2,3173430.64,3173430.64,0,0,-4687-02,1,2,5,125,Hibernating
0.0513,2453564.7,2,3169633.6,3169633.6,0,0,-4691-01,1,2,5,125,Hibernating
0.0199,2455503.5,9,3153911.38,3153911.38,0,0,-4690-10,1,5,5,155,At-Risk
0.0502,2455694.2,3,3131693.85,3131693.85,0,0,-4691-11,1,3,5,135,At-Risk
0.2768,2451967,1,3105231.36,3105231.36,0,0,-4702-09,1,1,5,115,Lost
0.0141,2455553.9,7,3043084.09,3043084.09,0,0,-4686-12,1,4,5,145,At-Risk
0.011,2455224.2,9,3027444.35,3027444.35,0,0,-4680-06,1,5,5,155,At-Risk
0.0719,2449182.6,1,3015620.65,3015620.65,0,0,-4694-04,1,1,5,115,Lost
0.0458,2451998,3,2977504.47,2977504.47,0,0,-4696-12,1,3,5,135,At-Risk
0.0037,2454892.4,9,2901602.75,2901602.75,0,0,-4647-09,1,5,5,155,At-Risk
0.0608,2455584.7,2,2890706,2890706,0,0,-4693-05,1,2,5,125,Hibernating
0.0773,2454944.9,2,2870246.14,2870246.14,0,0,-4695-01,1,2,5,125,Hibernating
0.0252,2454712.7,3,2849519.1,2849519.1,0,0,-4686-08,1,3,5,135,At-Risk
0.0143,2454523.4,5,2721456.14,2721456.14,0,0,-4685-06,1,4,5,145,At-Risk
0.064,2455533.9,4,2663578.2,2663578.2,0,0,-4700-07,1,3,5,135,At-Risk
0.0131,2455608.5,7,2652532.95,2652532.95,0,0,-4680-07,1,4,5,145,At-Risk
0.2215,2452008.3,1,2618419.23,2618419.23,0,0,-4702-07,1,1,5,115,Lost
0.2519,2452182,1,2612190.75,2612190.75,0,0,-4702-02,1,1,5,115,Lost
0.0098,2454895.9,7,2598747.15,2598747.15,0,0,-4687-01,1,4,5,145,At-Risk
0.0101,2455577.1,7,2593832,2593832,0,0,-4687-04,1,4,5,145,At-Risk
0.3024,2452402,1,2589173.6,2589173.6,0,0,-4703-06,1,1,5,115,Lost
0.0128,2446639.5,2,2572345.59,2572345.59,0,0,-4683-08,1,2,5,125,Hibernating
0.0644,2449419.4,1,2533754.08,2533754.08,0,0,-4695-08,1,1,5,115,Lost
0.0247,2455310.9,6,2530351.3,2530351.3,0,0,-4688-05,1,4,5,145,At-Risk
0.1092,2450832,1,2503164.48,2503164.48,0,0,-4699-10,1,1,5,115,Lost
0.1936,2451905.6,1,2496859.5,2496859.5,0,0,-4702-11,1,1,5,115,Lost
0.0389,2455599.8,3,2467573.3,2467573.3,0,0,-4692-12,1,3,5,135,At-Risk
0.0153,2455650.3,12,2464482.8,2464482.8,0,0,-4692-04,1,5,5,155,At-Risk
0.0282,2455198.9,3,2460825.29,2460825.29,0,0,-4687-09,1,3,5,135,At-Risk
0.0543,2455162.4,3,2435727.96,2435727.96,0,0,-4694-04,1,3,5,135,At-Risk
0.1149,2452327.9,2,2427405.05,2427405.05,0,0,-4703-01,1,2,5,125,Hibernating
0.0516,2448926.6,1,2384399.22,2384399.22,0,0,-4693-01,1,1,5,115,Lost
0.0144,2454833.5,4,2383481.97,2383481.97,0,0,-4683-05,1,3,5,135,At-Risk
0.0182,2455556.2,3,2376760.52,2376760.52,0,0,-4683-09,1,3,5,135,At-Risk
0.0951,2455548.1,2,2365744.16,2365744.16,0,0,-4698-03,1,2,5,125,Hibernating
0.0083,2454891.7,5,2333757.7,2333757.7,0,0,-4668-03,1,4,5,145,At-Risk
0.0047,2454821.8,7,2276895.55,2276895.55,0,0,-4659-07,1,4,5,145,At-Risk
0.0043,2455129,5,2256872.41,2256872.41,0,0,-4654-06,1,4,5,145,At-Risk
0.0121,2454891.8,3,2231128.15,2231128.15,0,0,-4685-03,1,3,5,135,At-Risk
0.0084,2453237.3,6,2216736.35,2216736.35,0,0,-4687-09,1,4,5,145,At-Risk
0.0068,2455252.3,14,2091074.49,2091074.49,0,0,-4687-11,1,5,5,155,At-Risk
0.1693,2452050.6,1,2090201.56,2090201.56,0,0,-4702-06,1,1,5,115,Lost
0.0258,2455197.2,4,2086683.73,2086683.73,0,0,-4690-07,1,3,5,135,At-Risk
0.0097,2455601.3,6,2077719.17,2077719.17,0,0,-4678-08,1,4,5,145,At-Risk
0.0211,2455200.1,2,2059516.66,2059516.66,0,0,-4685-03,1,2,5,125,Hibernating
0.0469,2455208.8,2,2042836.66,2042836.66,0,0,-4694-04,1,2,5,125,Hibernating
0.0498,2454712,2,1999166.4,1999166.4,0,0,-4695-05,1,2,5,125,Hibernating
0.0297,2454046.5,4,1963073.5,1963073.5,0,0,-4693-08,1,3,5,135,At-Risk
0.0169,2454966,8,1948237,1948237,0,0,-4694-01,1,5,5,155,At-Risk
0.0222,2451744.4,3,1947002,1947002,0,0,-4694-04,1,3,5,135,At-Risk
0.0064,2455514.9,7,1938084.23,1938084.23,0,0,-4679-03,1,4,5,145,At-Risk
0.0071,2455373.6,11,1899165.56,1899165.56,0,0,-4673-06,1,5,5,155,At-Risk
0.0303,2447875.4,1,1895813.14,1895813.14,0,0,-4691-11,1,1,5,115,Lost
0.045,2449283.8,1,1883115.86,1883115.86,0,0,-4694-01,1,1,5,115,Lost
0.0264,2455595,2,1881702.55,1881702.55,0,0,-4689-04,1,2,5,125,Hibernating
0.0337,2453490.1,2,1870161.14,1870161.14,0,0,-4693-07,1,2,5,125,Hibernating
0.0293,2455649.5,3,1857683.38,1857683.38,0,0,-4691-04,1,3,5,135,At-Risk
0.0058,2454099.2,10,1856438.04,1856438.04,0,0,-4678-12,1,5,5,155,At-Risk
0.0795,2454836.4,2,1842881.22,1842881.22,0,0,-4699-04,1,2,5,125,Hibernating
0.2844,2452900.9,1,1837261,1837261,0,0,-4704-02,1,1,5,115,Lost
0.4141,2453161.5,1,1826034.1,1826034.1,0,0,-4705-05,1,1,5,115,Lost
0.0117,2454454.8,4,1825818.97,1825818.97,0,0,-4679-09,1,3,5,135,At-Risk
0.0136,2455174.8,7,1822159.57,1822159.57,0,0,-4694-07,1,4,5,145,At-Risk
0.3371,2453055.7,1,1814630.07,1814630.07,0,0,-4705-09,1,1,5,115,Lost
0.003,2454917.5,9,1802200.27,1802200.27,0,0,-4652-06,1,5,5,155,At-Risk
0.0476,2454948.9,3,1799148.55,1799148.55,0,0,-4696-04,1,3,5,135,At-Risk
0.1174,2451739.5,1,1798299.2,1798299.2,0,0,-4701-04,1,1,5,115,Lost
0.1082,2455787.6,2,1791354.75,1791354.75,0,0,-4701-09,1,2,5,125,Hibernating
0.0439,2449389.6,1,1783487.28,1783487.28,0,0,-4695-09,1,1,5,115,Lost
0.0411,2451553,2,1772049.65,1772049.65,0,0,-4699-11,1,2,5,125,Hibernating
0.0631,2450479.9,1,1740927.5,1740927.5,0,0,-4698-10,1,1,5,115,Lost
0.0531,2455596.8,3,1737480.62,1737480.62,0,0,-4697-11,1,3,5,135,At-Risk
0.0638,2454410.9,3,1723039.06,1723039.06,0,0,-4699-04,1,3,5,135,At-Risk
0.0891,2454113.2,2,1718578.23,1718578.23,0,0,-4701-07,1,2,5,125,Hibernating
0.0095,2455117.4,5,1709592.97,1709592.97,0,0,-4686-04,1,4,5,145,At-Risk
0.1853,2452546.6,1,1703242.08,1703242.08,0,0,-4703-02,1,1,5,115,Lost
0.0163,2455137.6,6,1695551.82,1695551.82,0,0,-4687-09,1,4,5,145,At-Risk
0.009,2455579.3,8,1690201.53,1690201.53,0,0,-4688-05,1,5,5,155,At-Risk
0.0254,2454061.4,3,1670271.05,1670271.05,0,0,-4692-05,1,3,5,135,At-Risk
0.0959,2451517.9,1,1669091.1,1669091.1,0,0,-4701-11,1,1,5,115,Lost
0.0045,2455245.2,9,1660110,1660110,0,0,-4665-04,1,5,5,155,At-Risk
0.0168,2454994.4,4,1655290.08,1655290.08,0,0,-4686-03,1,3,5,135,At-Risk
0.5537,2453322.8,1,1647406.08,1647406.08,0,0,-4706-12,1,1,5,115,Lost
0.0421,2454719.9,3,1638888.81,1638888.81,0,0,-4696-05,1,3,5,135,At-Risk
0.0595,2450549.5,1,1606400.04,1606400.04,0,0,-4698-07,1,1,5,115,Lost
